PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Shkodran Mustafi,Pre-Season,Defender,DEU,Valencia,Sampdoria,Sold,7500000,La Liga,14/15
Jonas Hofmann,Mid-Season,Midfielder,DEU,Bor. Mgladbach,Bor. Dortmund,Sold,8000000,Bundesliga,15/16
Marko Marin,Pre-Season,Midfielder,DEU,Chelsea,Werder Bremen,Sold,8000000,EPL,Dec-13
Pierre-Michel Lasogga,Pre-Season,Attacker,DEU,Hamburg,Hertha,Sold,8500000,Bundesliga,14/15
Kevin Trapp,Pre-Season,Goalkeeper,DEU,PSG,Eint. Frankfurt,Sold,9000000,ROE,15/16
Antonio Rudiger,Pre-Season,Defender,DEU,Roma,Stuttgart,Sold,9000000,Serie A,16/17
Bastian Schweinsteiger,Pre-Season,Midfielder,DEU,Manchester Utd,Bayern,Sold,9000000,EPL,15/16
Peter Mertesacker,Pre-Season,Defender,DEU,Arsenal,Werder Bremen,Sold,9000000,EPL,11-Dec
Jonathan Tah,Pre-Season,Defender,DEU,Leverkusen,Hamburg,Sold,10000000,Bundesliga,15/16
Johannes Geis,Pre-Season,Midfielder,DEU,Schalke,Mainz,Sold,10000000,Bundesliga,15/16
Matthias Ginter,Pre-Season,Defender,DEU,Bor. Dortmund,Freiburg,Sold,10000000,Bundesliga,14/15
Gonzalo Castro,Pre-Season,Midfielder,DEU,Bor. Dortmund,Leverkusen,Sold,11000000,Bundesliga,15/16
Max Kruse,Pre-Season,Attacker,DEU,Wolfsburg,Bor. Mgladbach,Sold,12000000,Bundesliga,15/16
Marc-Andre ter Stegen,Pre-Season,Goalkeeper,DEU,Barcelona,Bor. Mgladbach,Sold,12000000,La Liga,14/15
Emre Can,Pre-Season,Midfielder,DEU,Liverpool,Bayer Leverkusen,Sold,12000000,EPL,14/15
Jerome Boateng,Pre-Season,Defender,DEU,Manchester City,Hertha Berlin,Sold,12500000,EPL,10-Nov
Sebastian Rode,Pre-Season,Midfielder,DEU,Bor. Dortmund,Bayern Munich,Sold,13000000,Bundesliga,16/17
Yannick Gerhardt,Pre-Season,Midfielder,DEU,Wolfsburg,FC Koln,Sold,13000000,Bundesliga,16/17
Lukas Podolski,Pre-Season,Attacker,DEU,Arsenal,Koln,Sold,13000000,EPL,Dec-13
Sami Khedira,Pre-Season,Midfielder,DEU,Real Madrid,Stuttgart,Sold,14000000,La Liga,10-Nov
Christoph Kramer,Pre-Season,Midfielder,DEU,Bor. Mgladbach,Bayer Leverkusen,Sold,15000000,Bundesliga,16/17
Mario Gomez,Pre-Season,Attacker,DEU,Fiorentina,Bayern Munich,Sold,16000000,Serie A,13/14
Mesut Ozil,Pre-Season,Midfielder,DEU,Real Madrid,Werder Bremen,Sold,16000000,La Liga,10-Nov
Marco Reus,Pre-Season,Attacker,DEU,Bor. Dortmund,Bor. Mgladbach,Sold,17100000,Bundesliga,Dec-13
Kevin Volland,Pre-Season,Attacker,DEU,Bayer Leverkusen,Hoffenheim,Sold,20000000,Bundesliga,16/17
Ilkay Gundogan,Pre-Season,Midfielder,DEU,Manchester City,Bor. Dortmund,Sold,25800000,EPL,16/17
Mario Gotze,Pre-Season,Attacker,DEU,Bor. Dortmund,Bayern Munich,Sold,26000000,Bundesliga,16/17
Mario Gomez,Pre-Season,,DEU,Bayern Munich,Stuttgart,Sold,30000000,ROE,09-Oct
Andre Schurrle,Pre-Season,Attacker,DEU,Bor. Dortmund,Wolfsburg,Sold,30000000,Bundesliga,16/17
Toni Kroos,Pre-Season,Midfielder,DEU,Real Madrid,Bayern Munich,Sold,30000000,La Liga,14/15
Andre Schurrle,Mid-Season,Attacker,DEU,Wolfsburg,Chelsea,Sold,32000000,Bundesliga,14/15
Julian Draxler,Pre-Season,Midfielder,DEU,Wolfsburg,Schalke,Sold,35000000,Bundesliga,15/16
Mario Gotze,Pre-Season,Midfielder,DEU,Bayern Munich,Bor. Dortmund,Sold,37000000,Bundesliga,13/14
Mats Hummels,Pre-Season,Defender,DEU,Bayern Munich,Bor. Dortmund,Sold,38000000,Bundesliga,16/17
Shkodran Mustafi,Pre-Season,Defender,DEU,Arsenal,Valencia,Sold,41000000,EPL,16/17
Leroy Sane,Pre-Season,Midfielder,DEU,Manchester City,Schalke,Sold,45000000,EPL,16/17
Mesut Ozil,Pre-Season,Midfielder,DEU,Arsenal,Real Madrid,Sold,50000000,EPL,13/14
Nikolai Laursen,Pre-Season,Midfielder,DNK,PSV,Brondby,Sold,1000000,ROE,15/16
Martin Hansen,Pre-Season,Goalkeeper,DNK,Ingolstadt,Den Haag,Sold,1000000,Bundesliga,16/17
Michael Krohn-Dehli,Pre-Season,Midfielder,DNK,Celta,Brondby,Sold,1000000,La Liga,Dec-13
Nicklas Helenius,Pre-Season,Attacker,DNK,Aston Villa,Aalborg,Sold,1400000,EPL,13/14
Simon Makienok,Pre-Season,Attacker,DNK,Palermo,Brondby,Sold,1800000,Serie A,14/15
Erik Sviatchenko,Mid-Season,Defender,DNK,Celtic,Midtjylland,Sold,2000000,ROE,15/16
Simon Kjaer,Pre-Season,Defender,DNK,Lille,Wolfsburg,Sold,2000000,ROE,13/14
Riza Durmisi,Pre-Season,Defender,DNK,Real Betis,Brondby,Sold,2300000,La Liga,16/17
Daniel Wass,Pre-Season,Defender,DNK,Evian,Benfica,Sold,2500000,ROE,Dec-13
Emil Berggreen,Mid-Season,Attacker,DNK,Mainz,Braunschweig,Sold,2500000,Bundesliga,15/16
Jannik Vestergaard,Mid-Season,Defender,DNK,Werder Bremen,Hoffenheim,Sold,2500000,Bundesliga,14/15
Daniel Wass,Pre-Season,Midfielder,DNK,Celta,Evian,Sold,2700000,La Liga,15/16
Andreas Bjelland,Pre-Season,Defender,DNK,Twente,Nordsjaelland,Sold,3000000,ROE,Dec-13
Niki Zimling,Mid-Season,Midfielder,DNK,Mainz,Club Brugge,Sold,3000000,Bundesliga,Dec-13
William Kvist,Pre-Season,Midfielder,DNK,Stuttgart,FC Copenhagen,Sold,3500000,ROE,11-Dec
Daniel Agger,Pre-Season,Defender,DNK,Brondby,Liverpool,Sold,3800000,ROE,14/15
Jores Okore,Pre-Season,Defender,DNK,Aston Villa,Nordsjaelland,Sold,4700000,EPL,13/14
Viktor Fischer,Pre-Season,Attacker,DNK,Middlesbrough,Ajax,Sold,4850000,EPL,16/17
Christian Poulsen,Pre-Season,Midfielder,DNK,Liverpool,Juventus,Sold,5500000,EPL,10-Nov
Simon Kjaer,Pre-Season,Defender,DNK,Fenerbahce,Lille,Sold,7700000,ROE,15/16
Andreas Cornelius,Pre-Season,Attacker,DNK,Cardiff,FC Copenhagen,Sold,10000000,EPL,13/14
Jannik Vestergaard,Pre-Season,Defender,DNK,Bor. Mgladbach,Werder Bremen,Sold,11000000,Bundesliga,16/17
Christian Eriksen,Pre-Season,Midfielder,DNK,Tottenham,Ajax,Sold,13500000,EPL,13/14
Pierre-Emile Hojbjerg,Pre-Season,Midfielder,DNK,Southampton,Bayern Munich,Sold,15000000,EPL,16/17
Foued Kadir,Mid-Season,Midfielder,DZA,Marseille,Valenciennes,Sold,500000,ROE,Dec-13
Ramy Bensebaini,Pre-Season,Defender,DZA,Rennes,Paradou AC,Sold,2000000,ROE,16/17
Nabil Ghilas,Pre-Season,Attacker,DZA,Porto,Moreirense,Sold,3000000,ROE,13/14
Aissa Mandi,Pre-Season,Defender,DZA,Real Betis,Reims,Sold,4000000,La Liga,16/17
Yacine Brahimi,Pre-Season,Midfielder,DZA,Granada,Rennes,Sold,4000000,La Liga,13/14
Faouzi Ghoulam,Mid-Season,Defender,DZA,Napoli,Saint Etienne,Sold,5000000,Serie A,13/14
Saphir Taider,Pre-Season,Midfielder,DZA,Inter Milan,Bologna,Sold,5500000,Serie A,13/14
Yacine Brahimi,Pre-Season,Midfielder,DZA,Porto,Granada,Sold,6500000,ROE,14/15
Islam Slimani,Pre-Season,Attacker,DZA,Leicester,Sporting CP,Sold,34000000,EPL,16/17
Bryan Cabezas,Pre-Season,Midfielder,ECU,Atalanta,Indepediente,Sold,1500000,Serie A,16/17
Enner Valencia,Pre-Season,Attacker,ECU,West Ham,Pachuca,Sold,15000000,EPL,14/15
Ahmed Hegazy,Pre-Season,Defender,EGY,Fiorentina,Ismaily,Sold,1500000,Serie A,Dec-13
Ahmed Al-Muhammadi,Mid-Season,,EGY,Sunderland,ENPPI,Sold,2300000,EPL,09-Oct
Ramadan Sobhi,Pre-Season,Midfielder,EGY,Stoke,Al Ahly,Sold,5000000,EPL,16/17
Mohamed Elneny,Mid-Season,,EGY,Arsenal,Basel,Sold,6600000,EPL,15/16
Mohamed Salah,Mid-Season,,EGY,Chelsea,Basel,Sold,13200000,EPL,13/14
Mohamed Salah,Pre-Season,Midfielder,EGY,Roma,Chelsea,Sold,15000000,Serie A,16/17
Mohamed Salah,Pre-Season,Midfielder,EGY,Roma,Chelsea,Sold,22000000,Serie A,15/16
Diego Marino,Pre-Season,Goalkeeper,ESP,Sporting Gijon,Levante,Sold,200000,La Liga,16/17
Alvaro Cejudo,Mid-Season,Midfielder,ESP,Osasuna,Las Palmas,Sold,240000,La Liga,10-Nov
Ruben Sobrino,Pre-Season,Attacker,ESP,Manchester City,Ponferradina,Sold,275000,EPL,15/16
Joan Capdevila,Pre-Season,Defender,ESP,Espanyol,Benfica,Sold,350000,La Liga,Dec-13
Jonathan Soriano,Mid-Season,Attacker,ESP,Salzburg,Barcelona,Sold,500000,ROE,11-Dec
Sergio Escudero,Pre-Season,Defender,ESP,Getafe,Schalke,Sold,500000,La Liga,13/14
Carlos Aranda,Mid-Season,Attacker,ESP,Granada,Zaragoza,Sold,500000,La Liga,Dec-13
Alejandro Pozuelo,Pre-Season,Midfielder,ESP,Swansea,Real Betis,Sold,500000,EPL,13/14
Ruben Martinez,Pre-Season,Defender,ESP,Malaga,Cartagena,Sold,600000,La Liga,10-Nov
José Ángel Crespo,Pre-Season,Defender,ESP,Aston Villa,Cordoba,Sold,700000,EPL,15/16
Anaitz Arbilla,Pre-Season,Defender,ESP,Eibar,Espanyol,Sold,750000,La Liga,16/17
Jonathan Viera,Pre-Season,Attacker,ESP,Las Palmas,Standard Liege,Sold,900000,La Liga,15/16
Oriol Rosell,Pre-Season,Midfielder,ESP,Sporting Lisbon,Sporting KC,Sold,1000000,ROE,14/15
David Concha,Pre-Season,Midfielder,ESP,Real Sociedad,Racing Santander,Sold,1000000,La Liga,15/16
Diego Rico,Pre-Season,Defender,ESP,Leganes,Real Zaragoza,Sold,1000000,La Liga,16/17
Pablo Sarabia,Pre-Season,Midfielder,ESP,Sevilla,Getafe,Sold,1000000,La Liga,16/17
Borja Viguera,Pre-Season,Attacker,ESP,Athletic Bilbao,Deportivo Alaves,Sold,1000000,La Liga,14/15
Andreu Fontas,Pre-Season,Defender,ESP,Celta Vigo,Barcelona,Sold,1000000,La Liga,13/14
Jose Naranjo,Pre-Season,Attacker,ESP,Celta,Gimnastic,Sold,1000000,EPL,09-Oct
Diego Capel,Pre-Season,Midfielder,ESP,Genoa,Sporting Lisbon,Sold,1300000,Serie A,15/16
Javier Matilla,Pre-Season,Midfielder,ESP,Real Betis,Villarreal,Sold,1400000,La Liga,11-Dec
Alejandro Grimaldo,Mid-Season,Defender,ESP,Benfica,Barcelona,Sold,1500000,ROE,15/16
Lucas Pérez,Pre-Season,Attacker,ESP,Deportivo,PAOK,Sold,1500000,La Liga,15/16
Gerard Moreno,Pre-Season,Attacker,ESP,Espanyol,Villarreal,Sold,1500000,La Liga,15/16
Alejandro Galvez,Pre-Season,Defender,ESP,Eibar,Werder Bremen,Sold,1500000,La Liga,16/17
Alvaro Medran,Pre-Season,Midfielder,ESP,Valencia,Real Madrid,Sold,1500000,La Liga,16/17
Jonathan Pereira,Pre-Season,Attacker,ESP,Villarreal,Real Betis,Sold,1500000,La Liga,13/14
Javier Hervas,Mid-Season,Midfielder,ESP,Sevilla,Cordoba,Sold,1500000,La Liga,11-Dec
Ignacio Camacho,Mid-Season,Midfielder,ESP,Malaga,Atletico Madrid,Sold,1500000,La Liga,10-Nov
Andres Fernandez,Pre-Season,Goalkeeper,ESP,Porto,Osasuna,Sold,1600000,ROE,14/15
Jose Campana,Pre-Season,Midfielder,ESP,Sampdoria,Crystal Palace,Sold,1600000,Serie A,14/15
Sergio Leon,Pre-Season,Attacker,ESP,Osasuna,Elche,Sold,1700000,La Liga,16/17
Coke,Pre-Season,Goalkeeper,ESP,Sevilla,Rayo Vallecano,Sold,1700000,La Liga,11-Dec
Denis Suarez,Pre-Season,Attacker,ESP,Barcelona,Manchester City,Sold,1800000,La Liga,13/14
Antonio Barragan,Pre-Season,Defender,ESP,Valencia,Valladolid,Sold,1800000,La Liga,11-Dec
Mario Suarez,Pre-Season,Midfielder,ESP,Atletico Madrid,Real Mallorca,Sold,1800000,La Liga,10-Nov
Alexis Delgado,Mid-Season,Defender,ESP,Besiktas,Getafe,Sold,2000000,ROE,15/16
Joaquin Sanchez,Pre-Season,Midfielder,ESP,Real Betis,Fiorentina,Sold,2000000,La Liga,15/16
Antonio Luna,Pre-Season,Defender,ESP,Aston Villa,Sevilla,Sold,2000000,EPL,13/14
Jose Campana,Pre-Season,Midfielder,ESP,Crystal Palace,Sevilla,Sold,2000000,EPL,13/14
Jose Rodriguez,Pre-Season,Midfielder,ESP,Mainz,Galatasaray,Sold,2150000,Bundesliga,16/17
Borja Lopez,Pre-Season,Defender,ESP,Monaco,Sporting Gijon,Sold,2200000,ROE,13/14
Ayoze Perez,Pre-Season,Attacker,ESP,Newcastle,Tenerife,Sold,2200000,EPL,14/15
Javier Camunas,Pre-Season,Midfielder,ESP,Villarreal,Osasuna,Sold,2300000,La Liga,11-Dec
Sergio Escudero,Pre-Season,Defender,ESP,Schalke,Real Murcia,Sold,2500000,ROE,10-Nov
Pepe Reina,Pre-Season,Goalkeeper,ESP,Bayern Munich,Liverpool,Sold,2500000,Bundesliga,14/15
Joaquin,Pre-Season,Midfielder,ESP,Fiorentina,Malaga,Sold,2500000,Serie A,13/14
Sergio Escudero,Pre-Season,Defender,ESP,Sevilla,Getafe,Sold,2500000,La Liga,15/16
Aritz Aduriz,Pre-Season,Attacker,ESP,Athletic Bilbao,Valencia,Sold,2500000,La Liga,Dec-13
Jonathan Viera,Pre-Season,Midfielder,ESP,Valencia,Las Palmas,Sold,2500000,La Liga,Dec-13
Joseba Llorente,Pre-Season,Attacker,ESP,Real Sociedad,Villarreal,Sold,2500000,La Liga,10-Nov
Michu,Pre-Season,Midfielder,ESP,Swansea City,Rayo Vallecano,Sold,2500000,EPL,Dec-13
Jose Manuel Flores,Pre-Season,Defender,ESP,Swansea City,Genoa,Sold,2500000,EPL,Dec-13
Nolito,Pre-Season,Attacker,ESP,Celta Vigo,Benfica,Sold,2600000,La Liga,13/14
Victor Ruiz,Pre-Season,Defender,ESP,Villarreal,Valencia,Sold,2700000,La Liga,15/16
Mikel San Jose,Pre-Season,Defender,ESP,Athletic Bilbao,Liverpool,Sold,2750000,La Liga,10-Nov
Sergio Sanchez,Pre-Season,Defender,ESP,Malaga,Sevilla,Sold,2800000,La Liga,11-Dec
Aleix Garcia,Pre-Season,Midfielder,ESP,Manchester City,Villarreal,Sold,2900000,EPL,15/16
Jordi Amat,Pre-Season,Defender,ESP,Swansea,Espanyol,Sold,2900000,EPL,13/14
Didac Vila,Mid-Season,Defender,ESP,AC Milan,Espanyol,Sold,3000000,Serie A,10-Nov
Roberto,Pre-Season,Goalkeeper,ESP,Espanyol,Olympiacos,Sold,3000000,La Liga,16/17
Javi Fuego,Pre-Season,Midfielder,ESP,Espanyol,Valencia,Sold,3000000,La Liga,16/17
Miguel Angel Moya,Pre-Season,Goalkeeper,ESP,Atletico Madrid,Getafe,Sold,3000000,La Liga,14/15
Esteban Granero,Pre-Season,Midfielder,ESP,Real Sociedad,QPR,Sold,3000000,La Liga,14/15
Aleix Vidal,Pre-Season,Midfielder,ESP,Sevilla,Almeria,Sold,3000000,La Liga,14/15
Vitolo,Pre-Season,Attacker,ESP,Sevilla,Las Palmas,Sold,3000000,La Liga,13/14
Alberto Botia,Pre-Season,Defender,ESP,Sevilla,Sporting Gijon,Sold,3000000,La Liga,Dec-13
Gabi,Pre-Season,Midfielder,ESP,Atletico Madrid,Real Zaragoza,Sold,3000000,La Liga,11-Dec
Pablo Sarabia,Pre-Season,Midfielder,ESP,Getafe,Real Madrid,Sold,3000000,La Liga,11-Dec
Toni Martinez,Pre-Season,Attacker,ESP,West Ham,Valencia,Sold,3000000,EPL,16/17
Nano,Pre-Season,Attacker,ESP,Eibar,Tenerife,Sold,3200000,La Liga,16/17
Madera Michel,Mid-Season,,ESP,Birmingham City,Sporting Gijon,Sold,3300000,EPL,09-Oct
Denis Suarez,Pre-Season,Attacker,ESP,Barcelona,Villarreal,Sold,3500000,La Liga,16/17
Sergio Canales,Mid-Season,Midfielder,ESP,Real Sociedad,Valencia,Sold,3500000,La Liga,13/14
Diego Lopez,Pre-Season,Goalkeeper,ESP,Sevilla,Villarreal,Sold,3500000,La Liga,Dec-13
Jose A Reyes,Mid-Season,Attacker,ESP,Sevilla,Atletico Madrid,Sold,3500000,La Liga,11-Dec
Antonio Barragan,Pre-Season,Defender,ESP,Middlesbrough,Valencia,Sold,3600000,EPL,16/17
Bojan Krkic,Pre-Season,Attacker,ESP,Stoke,Barcelona,Sold,3800000,EPL,14/15
Diego Capel,Pre-Season,Midfielder,ESP,Sporting Lisbon,Sevilla,Sold,4000000,ROE,11-Dec
Mikel Merino,Pre-Season,Midfielder,ESP,Bor. Dortmund,Osasuna,Sold,4000000,Bundesliga,16/17
Keko,Pre-Season,Attacker,ESP,Malaga,Eibar,Sold,4000000,La Liga,16/17
Alvaro Gonzalez,Pre-Season,Defender,ESP,Villarreal,Espanyol,Sold,4000000,La Liga,16/17
Kike Sola,Pre-Season,Attacker,ESP,Athletic Bilbao,Osasuna,Sold,4000000,La Liga,13/14
Tomas Pina,Pre-Season,Midfielder,ESP,Villarreal,Mallorca,Sold,4000000,La Liga,13/14
Joaquin,Pre-Season,Midfielder,ESP,Malaga,Valencia,Sold,4000000,La Liga,11-Dec
Aritz Aduriz,Pre-Season,Attacker,ESP,Valencia,Real Mallorca,Sold,4000000,La Liga,10-Nov
Carles Gil,Mid-Season,,ESP,Aston Villa,Valencia,Sold,4000000,EPL,14/15
Jose Angel,Pre-Season,Defender,ESP,Roma,Sporting Gijon,Sold,4500000,Serie A,11-Dec
David Lopez,Pre-Season,Midfielder,ESP,Espanyol,Napoli,Sold,4500000,La Liga,16/17
Diego Lopez,Mid-Season,Goalkeeper,ESP,Real Madrid,Sevilla,Sold,4500000,La Liga,Dec-13
Juanfran Torres,Mid-Season,Midfielder,ESP,Atletico Madrid,Osasuna,Sold,4500000,La Liga,10-Nov
Samu Garcia,Pre-Season,Midfielder,ESP,Rubin Kazan,Villarreal,Sold,5000000,ROE,16/17
Ivan Marcano,Pre-Season,Defender,ESP,Rubin Kazan,Villarreal,Sold,5000000,ROE,Dec-13
Coke,Pre-Season,Defender,ESP,Schalke,Sevilla,Sold,5000000,Bundesliga,16/17
Joselu,Pre-Season,Attacker,ESP,Hannover,Hoffenheim,Sold,5000000,Bundesliga,14/15
Dani Carvajal,Pre-Season,Defender,ESP,Bayer Leverkusen,Real Madrid,Sold,5000000,Bundesliga,Dec-13
Luis Alberto,Pre-Season,Midfielder,ESP,Lazio,Liverpool,Sold,5000000,Serie A,16/17
Iago Falque,Pre-Season,Midfielder,ESP,Genoa,Tottenham,Sold,5000000,Serie A,14/15
Chico,Pre-Season,Defender,ESP,Genoa,Almeria,Sold,5000000,Serie A,10-Nov
Iago Aspas,Pre-Season,Attacker,ESP,Celta,Liverpool,Sold,5000000,La Liga,15/16
Juanmi,Pre-Season,Attacker,ESP,Real Sociedad,Southampton,Sold,5000000,La Liga,16/17
Dani Parejo,Pre-Season,Midfielder,ESP,Valencia,Getafe,Sold,5000000,La Liga,11-Dec
Daniel Parejo,Pre-Season,Midfielder,ESP,Valencia,Getafe,Sold,5000000,La Liga,11-Dec
Alexis Ruano,Pre-Season,Defender,ESP,Sevilla,Valencia,Sold,5000000,La Liga,10-Nov
Oriol Romeu,Pre-Season,Midfielder,ESP,Chelsea,Barcelona,Sold,5000000,EPL,11-Dec
David Villa,Pre-Season,Attacker,ESP,Atletico Madrid,Barcelona,Sold,5100000,La Liga,13/14
Jose Maria Callejon,Pre-Season,Attacker,ESP,Real Madrid,Espanyol,Sold,5500000,La Liga,11-Dec
Mario Suarez,Mid-Season,,ESP,Watford,Fiorentina,Sold,5500000,EPL,15/16
Roberto Jimenez,Pre-Season,Goalkeeper,ESP,Benfica,Atletico Madrid,Sold,6000000,ROE,13/14
Albert Riera,Pre-Season,Midfielder,ESP,Olympiakos,Liverpool,Sold,6000000,ROE,10-Nov
Victor Ruiz,Mid-Season,Defender,ESP,Espanyol,Napoli,Sold,6000000,Serie A,10-Nov
Kiko Casilla,Pre-Season,Goalkeeper,ESP,Real Madrid,Espanyol,Sold,6000000,La Liga,15/16
Vicente Iborra,Pre-Season,Midfielder,ESP,Sevilla,Levante,Sold,6000000,La Liga,13/14
Nacho Monreal,Pre-Season,Defender,ESP,Malaga,Osasuna,Sold,6000000,La Liga,11-Dec
Isco,Pre-Season,Midfielder,ESP,Malaga,Valencia,Sold,6000000,La Liga,11-Dec
Gerard Deulofeu,Pre-Season,Midfielder,ESP,Everton,Barcelona,Sold,6000000,EPL,15/16
Pedro Obiang,Pre-Season,Midfielder,ESP,West Ham,Sampdoria,Sold,6000000,EPL,15/16
Daniel Carvajal,Pre-Season,Defender,ESP,Real Madrid,Bayer Leverkusen,Sold,6500000,La Liga,13/14
Jose Enrique,Pre-Season,Defender,ESP,Liverpool,Newcastle,Sold,6800000,EPL,11-Dec
Cesar Azpilicueta,Pre-Season,Defender,ESP,Olymp. Marseille,Osasuna,Sold,7000000,ROE,10-Nov
Borja Valero,Pre-Season,Midfielder,ESP,Fiorentina,Villarreal,Sold,7000000,Serie A,Dec-13
Juanmi,Pre-Season,Attacker,ESP,Southampton,Malaga,Sold,7000000,EPL,15/16
Oriol Romeu,Pre-Season,Midfielder,ESP,Southampton,Chelsea,Sold,7000000,EPL,15/16
Pablo Hernandez`,Pre-Season,Midfielder,ESP,Swansea City,Valencia,Sold,7000000,EPL,Dec-13
Sergio Canales,Pre-Season,Midfielder,ESP,Valencia,Real Madrid,Sold,7500000,La Liga,Dec-13
Marc Bartra,Pre-Season,Defender,ESP,Bor. Dortmund,Barcelona,Sold,8000000,Bundesliga,16/17
Alvaro Dominguez,Pre-Season,Defender,ESP,Bor. Mgladbach,Atletico Madrid,Sold,8000000,Bundesliga,Dec-13
Benat Etxebarria,Pre-Season,Midfielder,ESP,Athletic Bilbao,Real Betis,Sold,8000000,La Liga,13/14
Roberto Jimenez Gago,Pre-Season,Goalkeeper,ESP,Real Zaragoza,Benfica,Sold,8000000,La Liga,11-Dec
Joselu,Pre-Season,Attacker,ESP,Stoke,Hannover,Sold,8000000,EPL,15/16
Esteban Granero,Pre-Season,Midfielder,ESP,QPR,Real Madrid,Sold,8000000,EPL,Dec-13
Roberto Jimenez,Pre-Season,Goalkeeper,ESP,Benfica,Atletico Madrid,Sold,8500000,ROE,10-Nov
Iago Aspas,Pre-Season,Attacker,ESP,Liverpool,Celta Vigo,Sold,9000000,EPL,13/14
Cesar Azpilicueta,Pre-Season,Defender,ESP,Chelsea,Marseille,Sold,9000000,EPL,Dec-13
Iker Casillas,Pre-Season,Goalkeeper,ESP,Porto,Real Madrid,Sold,10000000,ROE,15/16
Ruben Rochina,Pre-Season,Attacker,ESP,Rubin Kazan,Granada,Sold,10000000,ROE,16/17
Juan Bernat,Pre-Season,Defender,ESP,Bayern Munich,Valencia,Sold,10000000,Bundesliga,14/15
Xabi Alonso,Pre-Season,Midfielder,ESP,Bayern Munich,Real Madrid,Sold,10000000,Bundesliga,14/15
Jose Callejon,Pre-Season,Midfielder,ESP,Napoli,Real Madrid,Sold,10000000,Serie A,13/14
Victor Ruiz Torre,Pre-Season,Defender,ESP,Valencia,Napoli,Sold,10000000,La Liga,11-Dec
Roberto Soldado,Pre-Season,Attacker,ESP,Valencia,Getafe,Sold,10000000,La Liga,10-Nov
Adama Traore,Pre-Season,Midfielder,ESP,Aston Villa,Barcelona,Sold,10000000,EPL,15/16
Nacho Monreal,Mid-Season,,ESP,Arsenal,Malaga,Sold,10000000,EPL,Dec-13
Adrian Lopez,Pre-Season,Attacker,ESP,Porto,Atletico Madrid,Sold,11000000,ROE,14/15
Mikel Arteta,Pre-Season,Midfielder,ESP,Arsenal,Everton,Sold,11300000,EPL,11-Dec
Sergi Darder,Pre-Season,Midfielder,ESP,Lyon,Malaga,Sold,12000000,ROE,15/16
Raul Albiol,Pre-Season,Defender,ESP,Napoli,Real Madrid,Sold,12000000,Serie A,13/14
Bojan Krkic,Pre-Season,Attacker,ESP,Roma,Barcelona,Sold,12000000,Serie A,11-Dec
Manuel Jurado,Pre-Season,Midfielder,ESP,Schalke,Atletico Madrid,Sold,13000000,ROE,10-Nov
Roberto Soldado,Pre-Season,Attacker,ESP,Villarreal,Tottenham,Sold,13700000,La Liga,15/16
Jordi Alba,Pre-Season,Defender,ESP,Barcelona,Valencia,Sold,14000000,La Liga,Dec-13
Alberto Moreno,Pre-Season,Defender,ESP,Liverpool,Sevilla,Sold,15000000,EPL,14/15
Fernandes,Pre-Season,,ESP,Valencia,Benfica,Sold,16000000,La Liga,07-Aug
Javi Garcia,Pre-Season,Midfielder,ESP,Zenit,Manchester City,Sold,16200000,ROE,14/15
Asier Illarramendi,Pre-Season,Midfielder,ESP,Real Sociedad,Real Madrid,Sold,17000000,La Liga,15/16
Jesus Navas,Pre-Season,Midfielder,ESP,Manchester City,Sevilla,Sold,17600000,EPL,13/14
Nolito,Pre-Season,Attacker,ESP,Manchester City,Celta,Sold,18000000,EPL,16/17
Borja Baston,Pre-Season,Attacker,ESP,Swansea,Atletico Madrid,Sold,18000000,EPL,16/17
Santi Cazorla,Pre-Season,Midfielder,ESP,Malaga,Villarreal,Sold,19000000,La Liga,11-Dec
David de Gea,Pre-Season,Goalkeeper,ESP,Manchester Utd,Atletico Madrid,Sold,19000000,EPL,11-Dec
Alvaro Morata,Pre-Season,Attacker,ESP,Juventus,Real Madrid,Sold,20000000,Serie A,14/15
Aleix Vidal,Pre-Season,Midfielder,ESP,Barcelona,Sevilla,Sold,20000000,La Liga,15/16
Lucas Perez,Pre-Season,Attacker,ESP,Arsenal,Dep. La Coruna,Sold,20000000,EPL,16/17
Santi Cazorla,Pre-Season,Midfielder,ESP,Arsenal,Malaga,Sold,20000000,EPL,Dec-13
Javi Garcia,Pre-Season,Midfielder,ESP,Manchester City,Benfica,Sold,20000000,EPL,Dec-13
Alvaro Negredo,Pre-Season,Attacker,ESP,Manchester City,Sevilla,Sold,23000000,EPL,13/14
Jese Rodriguez,Pre-Season,Attacker,ESP,PSG,Real Madrid,Sold,25000000,ROE,16/17
Thiago Alcantara,Pre-Season,Midfielder,ESP,Bayern Munich,Barcelona,Sold,25000000,Bundesliga,13/14
Isco,Pre-Season,Midfielder,ESP,Real Madrid,Malaga,Sold,27000000,La Liga,13/14
Marcos Alonso,Pre-Season,Defender,ESP,Chelsea,Fiorentina,Sold,27000000,EPL,16/17
Pedro Rodriguez,Pre-Season,Attacker,ESP,Chelsea,Barcelona,Sold,27000000,EPL,15/16
Juan Mata,Pre-Season,Midfielder,ESP,Chelsea,Valencia,Sold,27000000,EPL,11-Dec
David Silva,Pre-Season,Midfielder,ESP,Manchester City,Valencia,Sold,29000000,EPL,10-Nov
