PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
G. Milito,Pre-Season,,ARG,Barcelona,Real Zaragoza,Sold,22400000,La Liga,07-Aug
Amauri,Pre-Season,,ARG,Juventus,Palermo,Sold,22700000,Serie A,08-Sep
Lisandro Lopez,Pre-Season,,ARG,Lyon,Porto,Sold,24000000,ROE,09-Oct
Diego,Pre-Season,,ARG,Juventus,Werder Bremen,Sold,24500000,Serie A,09-Oct
Enzo Perez,Mid-Season,Midfielder,ARG,Valencia,Benfica,Sold,25000000,La Liga,14/15
Angel Di Maria,Pre-Season,Midfielder,ARG,Real Madrid,Benfica,Sold,25000000,La Liga,10-Nov
Carloz Tevez,Pre-Season,,ARG,Manchester City,MSI (rights),Sold,29200000,EPL,09-Oct
Ezequiel Lavezzi,Pre-Season,Attacker,ARG,PSG,Napoli,Sold,30000000,ROE,Dec-13
Erik Lamela,Pre-Season,Attacker,ARG,Tottenham,Roma,Sold,30000000,EPL,13/14
Paulo Dybala,Pre-Season,Attacker,ARG,Juventus,Palermo,Sold,32000000,Serie A,15/16
Gonzalo Higuain,Pre-Season,Attacker,ARG,Napoli,Real Madrid,Sold,37000000,Serie A,13/14
Javier Pastore,Pre-Season,Attacker,ARG,PSG,Palermo,Sold,40000000,ROE,11-Dec
Nicolas Otamendi,Pre-Season,Defender,ARG,Manchester City,Valencia,Sold,45000000,EPL,15/16
Sergio Aguero,Pre-Season,Attacker,ARG,Manchester City,Atletico Madrid,Sold,45000000,EPL,11-Dec
Angel di Maria,Pre-Season,Midfielder,ARG,PSG,Manchester Utd,Sold,63000000,ROE,15/16
Angel Di Maria,Pre-Season,Midfielder,ARG,Manchester Utd,Real Madrid,Sold,75000000,EPL,14/15
Gonzalo Higuain,Pre-Season,Attacker,ARG,Juventus,Napoli,Sold,90000000,Serie A,16/17
Aras Ozbiliz,Mid-Season,Midfielder,ARM,Besiktas,Spartak Moscow,Sold,1500000,ROE,15/16
Aras Ozbiliz,Pre-Season,Attacker,ARM,Spartak Moscow,Kuban Krasnodar,Sold,6000000,ROE,13/14
Henrikh Mkhitaryan,Pre-Season,Midfielder,ARM,Bor. Dortmund,Shakhtar Donetsk,Sold,27500000,Bundesliga,13/14
Henrikh Mkhitaryan,Pre-Season,Midfielder,ARM,Manchester Utd,Bor. Dortmund,Sold,30000000,EPL,16/17
Anthony Caceres,Mid-Season,,AUS,Manchester City,Central Coast,Sold,200000,EPL,15/16
Adrian Nikci,Pre-Season,Midfielder,AUS,Hannover,FC Zurich,Sold,600000,Bundesliga,Dec-13
Lucas Neill,Mid-Season,Defender,AUS,Galatasaray,Everton,Sold,800000,ROE,09-Oct
Joshua Brillante,Pre-Season,Midfielder,AUS,Fiorentina,Newcastle Jets,Sold,1000000,Serie A,14/15
Brad Jones,Pre-Season,Goalkeeper,AUS,Liverpool,Middlesbrough,Sold,2800000,EPL,10-Nov
Brad Smith,Pre-Season,Defender,AUS,Bournemouth,Liverpool,Sold,3600000,EPL,16/17
Mitchell Langerak,Pre-Season,Goalkeeper,AUS,Stuttgart,Bor. Dortmund,Sold,4000000,Bundesliga,15/16
Matthew Ryan,Pre-Season,Goalkeeper,AUS,Valencia,Club Brugge,Sold,7000000,La Liga,15/16
Zlatko Junuzovic,Mid-Season,Midfielder,AUT,Werder Bremen,Austria Wien,Sold,750000,ROE,11-Dec
Philipp Hosiner,Pre-Season,Attacker,AUT,Rennes,Austria Wien,Sold,1900000,ROE,14/15
Emanuel Pogatetz,Pre-Season,Defender,AUT,Wolfsburg,Hannover,Sold,2300000,Bundesliga,Dec-13
Marc Janko,Mid-Season,Attacker,AUT,Porto,Twente,Sold,3000000,ROE,11-Dec
Florian Kainz,Pre-Season,Goalkeeper,AUT,Werder Bremen,Rapid Vienna,Sold,3500000,Bundesliga,16/17
Julian Baumgartlinger,Pre-Season,Midfielder,AUT,Bayer Leverkusen,Mainz,Sold,4000000,Bundesliga,16/17
Christian Fuchs,Pre-Season,Defender,AUT,Schalke,Mainz,Sold,5000000,ROE,11-Dec
Kevin Wimmer,Pre-Season,Defender,AUT,Tottenham,FC Koln,Sold,5800000,EPL,15/16
Alessandro Schopf,Mid-Season,Midfielder,AUT,Schalke,Nurnberg,Sold,6000000,Bundesliga,15/16
Marc Janko,Pre-Season,Attacker,AUT,FC Twente,Red Bull Salzburg,Sold,7000000,ROE,10-Nov
Martin Hinteregger,Pre-Season,Defender,AUT,Augsburg,Salzburg,Sold,7000000,Bundesliga,16/17
Aleksandar Dragovic,Pre-Season,Defender,AUT,Dynamo Kiev,Basel,Sold,9000000,ROE,13/14
Aleksandar Dragovic,Pre-Season,Defender,AUT,Bayer Leverkusen,Dynamo Kyev,Sold,18000000,Bundesliga,16/17
Timothy Derijck,Pre-Season,Defender,BEL,PSV,Den Haag,Sold,750000,ROE,11-Dec
Theo Bongonda,Mid-Season,Attacker,BEL,Celta Vigo,Zulte Waregem,Sold,1300000,La Liga,14/15
Koen Casteels,Mid-Season,Goalkeeper,BEL,Wolfsburg,Hoffenheim,Sold,1500000,Bundesliga,14/15
Dedryck Boyata,Pre-Season,Defender,BEL,Celtic,Manchester City,Sold,2000000,ROE,15/16
Samuel Bastien,Pre-Season,Midfielder,BEL,Chievo,Anderlecht,Sold,2500000,Serie A,16/17
Jordan Lukaku,Pre-Season,Defender,BEL,Lazio,Oostende,Sold,5000000,Serie A,16/17
Laurent Depoitre,Pre-Season,Attacker,BEL,Porto,Gent,Sold,6000000,ROE,16/17
Steven Defour,Pre-Season,Midfielder,BEL,Anderlecht,Porto,Sold,6000000,ROE,14/15
Michy Batshuayi,Pre-Season,Attacker,BEL,Marseille,Standard Liege,Sold,6000000,ROE,14/15
Thomas Meunier,Pre-Season,Defender,BEL,PSG,Club Brugge,Sold,7000000,ROE,16/17
Toby Alderweireld,Pre-Season,Defender,BEL,Atletico Madrid,Ajax,Sold,7000000,La Liga,13/14
Christian Kabasele,Pre-Season,Defender,BEL,Watford,Genk,Sold,7000000,EPL,16/17
Moussa Dembele,Pre-Season,Attacker,BEL,Fulham,AZ Alkmaar,Sold,7300000,EPL,10-Nov
Kevin Mirallas,Pre-Season,Attacker,BEL,Everton,Olympiakos,Sold,7600000,EPL,Dec-13
Thorgan Hazard,Pre-Season,Midfielder,BEL,Bor. Mgladbach,Chelsea,Sold,8000000,Bundesliga,15/16
Kevin De Bruyne,Mid-Season,,BEL,Chelsea,Genk,Sold,8000000,EPL,11-Dec
Nacer Chadli,Pre-Season,Midfielder,BEL,Tottenham,Twente,Sold,8100000,EPL,13/14
Steven Defour,Pre-Season,Midfielder,BEL,Burnley,Anderlecht,Sold,9000000,EPL,16/17
Christian Benteke,Pre-Season,Attacker,BEL,Aston Villa,Genk,Sold,9000000,EPL,Dec-13
Thibaut Courtois,Pre-Season,Goalkeeper,BEL,Chelsea,Genk,Sold,9000000,EPL,11-Dec
Dries Mertens,Pre-Season,Midfielder,BEL,Napoli,PSV,Sold,9500000,Serie A,13/14
Dennis Praet,Pre-Season,Midfielder,BEL,Sampdoria,Anderlecht,Sold,10000000,Serie A,16/17
Simon Mignolet,Pre-Season,Goalkeeper,BEL,Liverpool,Sunderland,Sold,10500000,EPL,13/14
Thomas Vermaelen,Pre-Season,Defender,BEL,Arsenal,Ajax,Sold,11200000,EPL,09-Oct
Divock Origi,Pre-Season,Attacker,BEL,Liverpool,Lille,Sold,12500000,EPL,14/15
Radja Nainggolan,Pre-Season,Midfielder,BEL,Roma,Cagliari,Sold,14000000,Serie A,15/16
Yannick Ferreira-Carrasco,Pre-Season,Midfielder,BEL,Atletico Madrid,Monaco,Sold,15000000,La Liga,15/16
Toby Alderweireld,Pre-Season,Defender,BEL,Tottenham,Atletico Madrid,Sold,15000000,EPL,15/16
Nacer Chadli,Pre-Season,Midfielder,BEL,West Brom,Tottenham,Sold,15200000,EPL,16/17
Kevin De Bruyne,Mid-Season,Midfielder,BEL,Wolfsburg,Chelsea,Sold,17500000,Bundesliga,13/14
Thomas Vermaelen,Pre-Season,Defender,BEL,Barcelona,Arsenal,Sold,19000000,La Liga,14/15
Moussa Dembele,Pre-Season,Midfielder,BEL,Tottenham,Fulham,Sold,19000000,EPL,Dec-13
Romelu Lukaku,Pre-Season,Attacker,BEL,Chelsea,Anderlecht,Sold,20000000,EPL,11-Dec
Christian Benteke,Pre-Season,Attacker,BEL,Crystal Palace,Liverpool,Sold,31000000,EPL,16/17
Marouane Fellaini,Pre-Season,Midfielder,BEL,Manchester Utd,Everton,Sold,32000000,EPL,13/14
Romelu Lukaku,Pre-Season,Attacker,BEL,Everton,Chelsea,Sold,35300000,EPL,14/15
Axel Witsel,Pre-Season,Midfielder,BEL,Zenit,Benfica,Sold,40000000,ROE,Dec-13
Michy Batshuayi,Pre-Season,Attacker,BEL,Chelsea,Marseille,Sold,40000000,EPL,16/17
Eden Hazard,Pre-Season,Attacker,BEL,Chelsea,Lille,Sold,40000000,EPL,Dec-13
